,top_category,sub_category,shops
0,accessories,hair-accessories,"['ThinkPinkBows', 'LillyBowPeep', 'CrystalEclipseCrowns', 'LeChaim', 'jahannamartinez', 'TrueNorthCollection', 'avtboutique', 'FangirlCreation', 'Princessory', 'tanyaslittleshop', 'hairbowsworld', 'YogaHeadbands', 'LeftbankSV', 'APPLEMINTHOUSE', '3LoveliesBowtique', 'EllaWinston', 'PunkadoodlesBoutique', 'OohLaLaDivasandDudes', 'featherswholesale', 'cssbowtique', 'dexlarprice', 'BabyBloomzBoutique', 'DarklingArtistry', 'LoveMiaCo', 'threddies', 'LovelyLambsBoutique', 'DianaRoseBoutique', 'LexisLittleBowtique', 'LacoHandMade', 'TopGracia', 'LittleJenStore', 'MarisaAnneDesigns', 'BowsforLittle', 'CaSales', 'luxebuffalo', 'NinthandHazel', 'FortuneFavorsTheGold', 'BabyliciousDivas', 'cutebows4girls', 'sprinklesforsprouts', 'PoshPelicanCo', 'GothamCityStyle']"
1,accessories,hats-and-caps,"['VintageLovers4', 'BeanieVille', 'CaporCrap', 'PinkandBlueBonnets', 'Leandruh', 'THEINNOVATED', 'TheTurnipSeed', 'HeadToToeDesign', 'cutebows4girls', 'CosyDesignscd', 'Rawsells', 'chic2surgery', 'ForTheBrideShop', 'lana5753', 'YuriCWeddingShoppe', 'BlancaVeils', 'TheHatConnection', 'Cherrygran', 'harsuccthing', 'StrongGirlClothing', 'MelindaRoseDesign', 'AllStitchedOutStudio', 'UptopStudios', 'treslittlekings', 'PrfctoLifestyle', 'BallCapShack', 'BonbonsPropShop', 'Redfoxfur', 'MeshkaBridal', 'BeccasBridalBoutique', 'ItsASparkleThing', 'SandyCoastalDesigns', 'terihuang', 'JustForMeSewing', 'SXApparel', 'TopGracia', 'fairebroderie', 'MegsMonogramsandMore', 'Craftasy', 'SewWhatFun', 'RedElephantClothing', 'screensnthread']"
2,accessories,baby-accessories,"['HenleysHeadbands', 'SkylarnMe', 'ThinkPinkBows', 'BATZkids', 'CuddleMeBabyGifts', 'Princessory', 'LillyBowPeep', 'InfantlyCuteBoutique', 'NewbeesShop', '3DKoalaLabels', 'BLOCKSetc', 'ChinoCreations', 'ButtercupsBeanies', 'CoraBloom', 'OohLaLaDivasandDudes', 'Lifeinmypjs', 'dollypriss', 'WonderfulProps', 'LittleBehrCo', 'LavenderLouHandmade', 'DianaRoseBoutique', 'LacoHandMade', 'LovelyLambsBoutique', 'ShopHausOfZoe', 'Thechippedcupetsy', 'FortuneFavorsTheGold', 'grandmasbabyboutique', 'Kutikati', 'PoshPelicanCo', 'GagaKidz', 'ThePleatedPetal', 'CountryStitched', 'BlushingBowsHandmade', 'PoshPeanutKids', 'Pottergentrydesigns', 'WutheringIris', 'LittleWearandmore', 'BabyliciousDivas', 'pinkperfectshop', 'HappyToBeAGrandma', 'HikuDesigns', 'SCTatteredPetals']"
3,accessories,scarves-and-wraps,"['storiarts', 'MiracleShine', 'Futurerity2', 'MelScarf', 'ScarfClub', 'OliveandArrowKnits', 'escherpe', 'Aslidesign', 'MyClosetbyLindySue', 'Arzus', 'HandmadeLaremi', 'VintageVoisin', 'Zojanka', 'MyLovelySeasons', 'chicdays', 'autumnandindigo', 'gameofscarves', 'AllMyKnits', 'Shovava', 'ZolinesVisionAries', 'DropSconeDesigns', 'Avaneska', 'Derins', 'TheVintageClothespin', 'hijabican', 'purplepossumuk', 'Rythmatix', 'LunaShawls', 'DressandCharm', 'TheOhlala', 'DavieandChiyo', 'SuiteIdeas', 'weddingstore', 'ANGEL0317', 'yarnisland', 'PierronDesigns', 'CaSales', 'SilkScarvesTakuyo', 'ForgottenCotton', 'denizgunes', 'dreamexpress', 'CutieChicBoutique']"
4,accessories,keychains-and-lanyards,"['artbymorgie', 'MelissasMonograms', 'Radmarkers', 'GreyFoxTextiles', 'LittleCreationsByMWL', 'AllThingsHipAndCool', 'VantlerLeather', 'SteviLus', 'TheLonelyMoose', 'madebyperri', 'Nelliebead', 'PawtasticDesignsGems', 'MagicalMonograms', 'belleadees', 'accessoriesbyjamiep', 'catonealdesigns', 'VetroJewelryDesigns', 'LCMetalArt', 'BagEnvy', 'StickEmUpDecalsAZ', 'permanentbaggage', 'moeshandcrafted', 'jadejourney', 'MyHeartHasPlans', 'OakHillDesigns', 'shoproyalbanana', 'MavenMetalsInc', 'FireflyLaneStamping', 'ManandDogDesigns', 'ShopPrettyinRose', 'mojgon', 'PrettieCuteBoutique', 'JillMakes', 'JPQuiltsandMoreLLC', 'LilMissDooLolly', 'JewelryLoveMoments', 'midwestcharmAH', 'SymbolicReflections', 'customisedbyclaire', 'BadgeReelsnButtons', 'PersonalBlessings', 'TheGatorbug']"
5,accessories,suit-and-tie-accessories,"['bridenew', 'MichaelEdwardsBowTie', 'WhiskeyWoodCraft', 'ElenaAndChris', 'BellasBloomStudio', 'ElegantCuff', 'JewelMango', 'HemmiDesign', 'ziziplace', 'NowThatsPersonal', 'AllAboutYouCreations', '2Marys', 'TesoroJewelry', 'MYTIESHOP', 'BlueMonkeys', 'beadsoul', 'aandlengraving', 'bitsandbadges', 'BridalCloset', 'retrobeadsandbangles', 'SlothwingTies', 'MetalandIdea', 'CoolTVProps', 'GalychWoodWorks', 'FrederickEngraving', 'Cyberoptix', '2JShop', 'ScatterbrainTies', 'customforu', 'TieObsessed', 'VictoriaLynnBoutique', 'PearlBeachTreasures', 'ShannahJSmith', 'AgrestalAccessories', 'Beautiful4Baby', 'EngravingsOnDemand', 'smmade', 'hardweardesigns', '3LittlePixiesShoppe', 'CosmicFirefly', 'timemonogram', 'uniquechicbowtique']"
6,accessories,patches-and-pins,"['Travelerkitandco', 'TINYCRABAPPLES', 'DistinctDesignsUnltd', 'GarbageHumans', 'SurfingSloth', 'MemesAndScreams', 'Heartificial', 'stephsayshello', 'BornFreePress', 'TheLightOmelette', 'ImprimereDesigns', 'ExtremeLargeness', 'CrackedEggCo', 'RadicalButtons1', 'CandyPunkCo', 'VeronicaDearly', 'bermudapress', 'CreepyGals', 'luckyhorsepress', 'hopesick', 'PKPaperKitty', 'APenToPaper', 'UptownGreek', 'ilikeCATSshop', 'DumbJunk', 'Ohjessicajessica', 'TheUncommonPlace', 'JessicaScissorhands', 'Buttonhead', 'Punkypins', 'CheyDumpling', 'WastelandFinds', 'monstersoutside', 'AsildaStore', 'PricklyCactusCollage', 'FlagPatchKingdom', 'InstaButtons', 'kookoobird', 'PatchForestShop', 'finestimaginary', 'kuru731', 'dannybrito']"
7,accessories,belts-and-suspenders,"['armoniia', 'MelodyOfCuteness', 'JoliePeople', 'TalismanaDesigns', 'DarkKnightArmoury', 'BeltSmithLeather', 'JHPCouture', 'TwicetheCharmShop', 'AyeletShachar', 'GekkoBoHotique', 'HeySir', 'CutieAccessorieStore', 'RSVPhandcrafted', 'reganflegan', 'yigufu', 'ElenaAndChris', 'SewinginthePlayroom', 'SeveniaStudio', 'BePrettyBeBold', 'fairyland6', 'Wildchildnh', 'loobyloucrafts', 'arvern', 'bakerboyShop', 'kandcleather', 'SocoDesign', 'AngelLeatherShop', 'portrhombus', 'bmused', '8thSinCreations', 'SweetnSwag', 'ProjectTransAction', 'cinchbelts', 'Triviaa', 'ENVYLEATHER', 'ItsShowTimeBoutique', 'MaeAndJane', 'WulflundJewelry', 'BJCleather', 'MrLentz', 'decembermoondesign', 'twoBellinis']"
8,accessories,costume-accessories,"['BadWolfCosplay', 'Lightthedynamite', 'MotivationalTattoo', 'Intersectsales', 'ShimmyBoutique', 'FutureHeroes', 'eshopmania', 'SKYLARCOSPLAY', 'movingrorschachmasks', 'CosplayTattoo', 'ModernTimez', 'TreasuredForever', 'Prime3dPrint', 'KyleGilbertDesign', 'CapesAndMore', 'dynamicalley', 'AtomAgeIndustries', 'HugsandStitchesEmbr', 'magpiesmasquerie', 'RedNebulaCosplay', 'Wintercroft', 'fairyrunner', 'MasksandTiaras', 'CreepyTwistsPro', 'parisianbridal', 'MightyBunny', 'WarFireForge', 'TheGimpyGiraffe', 'mylovelylily', 'MindtoMatter3D', 'ExGlow', 'CottageEmporium', 'IlustraStudios', 'LACostumeDesign', 'FreakShowFollies', 'superheroforparty', 'Haterrific', 'ArmoryRasa', 'SuperPartyEtsy', 'MummyHughesy', 'CheapPartyPackCapes', 'animecuriosity']"
9,accessories,sunglasses-and-eyewear,"['illumicyberwear', 'Robinssassystitches', 'Akujinscos', 'ImmaCuttinWithLazah', 'DaceBrakmane', 'MacClayLeather', 'TheCraftyEngineerx', 'YEMshades', 'AnchorAvenueDesigns', 'VintageGlassesCo', 'BaysickShades', 'AmericanDeadstock', 'BZRshop', 'EYEPSTER', 'PeriwinkleBeadDesign', 'SundryAccessories', 'spec2d', 'EmblemEyewear', '4everstore', 'GreenBridalBoutique', 'SunglassMuseum', 'hitekdesigns', 'CarvedAccessories', 'FutagoTreasures', 'ClassicalSense', 'BooksOnVideo', 'MODvintageshop', 'retroandme', 'MamaVava', 'WOODEER', 'SeeMyWay', 'HGBrasswell', 'oldjunkyardboutique', 'ChicMonogram', 'Gr8fulgoodsdotcom', 'missvalscreations', 'kalxdesigns', 'AlulaCreations', 'PatchMe', 'lightupworld', 'GreenStuffWorld', 'HarmonySalesCo']"
10,accessories,gloves-and-mittens,"['MaAndPaPeddle', 'WileyHopeDesigns', 'storiarts', 'RCPersonalizedGifts', 'runnickyrun', 'BlumenKinderSeattle', 'sweetstellasboutique', 'dawnsthumbguards', 'LBFelt', 'NativeBabydoll', 'pawstar', 'EitanyaDesigns', 'MaddisonsRainbow', 'handicraftland', 'ZOLNAR', 'HarlowMade', 'TheCrystalShoeCo', 'ReyyanCrochet', 'klintawool', 'MikelinaArt', 'TheCCVillage', 'MyKnitCroch', 'MadeAgainMittens', 'LoveFuzz', 'SophieAndHerStore', 'NorthernLoopKnitwear', 'TorchSingerVintage', 'ValkinThreads', 'lyralyra', 'GreyMatterCollection', 'Aerophane', 'RememberStella', 'toptrimming', 'TLVgoods', 'KnittingCarnival', 'artnida', 'MumlaShop', 'LiLiSocks', 'nbGlovesAndMittens', 'miraclemittens', 'peruvianplace', 'DachuksB']"
11,accessories,umbrellas-and-rain-accessories,"['customvinylbydesign', 'scrapsoflovebyjen', 'WeddingParasols', 'RedWalrusShoppe', 'DesignsByBrandiCo', '4BrokeGirls', 'LazyJanesBoutique', 'TheCrystalShoeCo', 'nakeddecor', 'HolyCowproducts', 'LoveUmbrellas', 'ChoCoB', 'TwoFourFoxyDesigns', 'CrystalotusCreations', 'SweetheartsSouthern', 'MiaSombrilla', 'LilLuLusShop', 'AngelasGiftShop', 'SweetnSouthernCreati', 'MagnificenceBridal', 'ParasolsbyDesign', 'TheDrinkingFox', 'AnnieNCompany', 'HuttonandBrown', 'TheGiftingSpot', 'RevelryPartyCompany', 'EmmabellasDesigns', 'MLadysParasols', 'TinyTortoiseSC', 'vintagebellewedding', 'congcongdesign', 'TurpinKreations', 'SouthernSisterShop', 'EarthyFabric', 'DesignsbyBurnaleeja', 'KatzCloset', 'RibbonsBowsAndGems', 'NewEnglandTreasure', 'INeedPromotionals', 'CaSales', 'AshTreeMeadowDesigns', 'HBSouthernInspired']"
12,bags-and-purses,keychains-and-lanyards,"['MelissasMonograms', 'Radmarkers', 'artbymorgie', 'GreyFoxTextiles', 'LittleCreationsByMWL', 'VantlerLeather', 'AllThingsHipAndCool', 'TheLonelyMoose', 'SteviLus', 'madebyperri', 'Nelliebead', 'belleadees', 'PawtasticDesignsGems', 'accessoriesbyjamiep', 'MagicalMonograms', 'catonealdesigns', 'VetroJewelryDesigns', 'LCMetalArt', 'BagEnvy', 'StickEmUpDecalsAZ', 'moeshandcrafted', 'permanentbaggage', 'MyHeartHasPlans', 'OakHillDesigns', 'jadejourney', 'MavenMetalsInc', 'shoproyalbanana', 'FireflyLaneStamping', 'ManandDogDesigns', 'mojgon', 'ShopPrettyinRose', 'PrettieCuteBoutique', 'JPQuiltsandMoreLLC', 'JillMakes', 'LilMissDooLolly', 'SymbolicReflections', 'JewelryLoveMoments', 'BadgeReelsnButtons', 'midwestcharmAH', 'customisedbyclaire', 'PersonalBlessings', 'TheGatorbug']"
13,bags-and-purses,electronics-cases,"['NatsNicheByNatalie', 'LunaSavita', 'dadastickers', 'MonogramItDarling', 'thetimeforus', 'CathyKDesigns', 'EVBTLEATHER', 'NebraskaVinyl', 'AnchorAndAxe', 'NashvilleDecals', 'MagesticFox', 'MascotCase', 'barvaleather', 'CaseGears', 'ShopOhMyGoodies', 'OhioDesignSpace', 'darthstickers', 'HamanHideLeather', 'SarahJadeCreations', 'fenot', 'TopCaseUSA', 'MarbleMacBook', 'evoncase', 'LaPetiteEugenes', 'RRCountryCreations', 'Geekals', 'kailochic', 'iPhoneCaseLove', 'casesfactory', 'CaseYard', 'Casehype', 'PaiBai', 'RockSteadyCases', 'FabStory', 'SkinLee', 'HelloNutcase', 'TopHome', 'LemurCases', 'SunshineVinyl', 'NorthBased', 'TreeAndArrow', 'VNLcompany']"
14,bags-and-purses,handbags,"['SmiLeStyles', 'EVBTLEATHER', 'KiliDesign', 'tippythai', 'roughandtumblebags', 'TakeItPersonallySB', 'Laroll', 'AyeletShachar', 'OakandBlossom', 'FINCHandFOX', 'BagsByPancha', 'CRAFTSFAIRua', 'bloomsnbrides', 'CarmelGoldental', 'DesignsbyApril1234', 'CyanByMiriWeiss', 'itsLark', 'SanumiLeatherGoods', 'ItsEmbroideredBaby', 'TheLeatherStore', 'thislovesthat', 'OrisDesigns', 'OriginalClub', 'SimplySewPrecious', 'MadlyYoursCollection', 'LeahLerner', 'KayBellaChic', 'CloudsplitterBags', 'HectorsHouseCraft', 'christystudio', 'SouthernTradeMark', 'ladybuq', 'MaxJBoutique', 'piperscrossing', 'atlaspast', 'JuniperAndLace', 'FidelioBags', 'janinekingdesigns', 'girlbyAileen', 'Badimyon', 'permanentbaggage', 'ChicLeather']"
